"Gene","Lineage","count_genomes"
"group_1771_group_4483_group_3469","L4",16
"group_4170_group_1771_group_4483","L4",16
"group_2930_group_2580_group_4824","L4",11
"group_2580_group_2930_group_2995","L4",10
"group_613_group_2995_group_2930","L4",10
"group_113_group_3608_group_2842","L2",9
"group_2455_group_2492_group_3433","L4",7
"group_270_group_4928_group_4949","L2",7
"group_3409_group_3433_group_2492","L4",7
"group_3409_group_4865_group_3483","L4",7
"group_3433_group_3409_group_4865","L4",7
"group_1369_group_2933_group_3174","L4",6
"group_2268_group_405_group_3174","L4",6
"group_2543_group_4155_group_3442","L4",6
"group_2952_group_2462_group_4088","L1",6
"group_3173_group_3930_group_4633","L4",6
"group_3406_group_3430_group_4451","L2",6
"group_3441_group_3582_group_4627","L1",6
"group_3582_group_3441_group_4516","L1",6
"group_4192_group_4451_group_3430","L2",6
"group_646_group_4516_group_3441","L1",6
"group_978_group_324_group_424","L1",6
"group_978_group_4701_group_3721","L1",6
"group_1059_group_4634_group_3933","L3",5
"group_1429_group_4780_group_4508","L1",5
"group_1486_group_1059_group_4634","L3",5
"group_1698_group_4152_group_4403","L1",5
"group_2189_group_4508_group_4780","L1",5
"group_2543_group_3407_group_3431","L4",5
"group_270_group_4728_group_4131","L3",5
"group_2842_group_1148_group_4773","L2",5
"group_3192_group_2194_group_4812","L4",5
"group_3392_group_3415_group_3940","L4",5
"group_3399_group_4469_group_4896","L3",5
"group_3407_group_2543_group_4155","L4",5
"group_3407_group_3431_group_4672","L4",5
"group_3415_group_3940_group_4639","L4",5
"group_3431_group_4672_group_4154","L4",5
"group_3899_group_4896_group_4469","L3",5
"group_3956_group_4586_group_4585","L4",5
"group_4469_group_3399_group_4895","L3",5
"group_4470_group_4552_group_4955","L2",5
"group_4512_group_4941_group_342","L4",5
"group_4559_group_342_group_4941","L4",5
"group_4559_group_4949_group_4928","L2",5
"group_4588_group_2131_group_4683","L3",5
"group_4728_group_4131_group_4758","L3",5
"group_506_group_3763_group_4585","L4",5
"group_1063_group_3869_group_4421","L4",4
"group_1177_group_1363_group_3027","L4",4
"group_1252_group_4777_group_3222","L4",4
"group_1307_group_672_group_1198","L4",4
"group_1339_group_3802_group_3116","L2",4
"group_137_group_1063_group_3869","L4",4
"group_173_group_4577_group_3741","L4",4
"group_2022_group_671_group_758","L4",4
"group_2103_group_173_group_4577","L4",4
"group_2131_group_4588_group_3774","L3",4
"group_2246_group_2096_group_4807","L1",4
"group_2277_group_3392_group_3415","L4",4
"group_2462_group_2952_group_3430","L1",4
"group_2802_group_3088_group_3422","L4",4
"group_2907_group_4936_group_3027","L4",4
"group_2914_group_4374_group_4471","L4",4
"group_2994_group_758_group_671","L4",4
"group_3049_group_1597_group_4381","L4",4
"group_3049_group_931_group_3935","L4",4
"group_3059_group_2928_group_4948","L2",4
"group_3088_group_3422_group_4387","L4",4
"group_3130_group_1148_group_2842","L2",4
"group_3392_group_2277_group_4852","L4",4
"group_3398_group_3423_group_183","L4",4
"group_3398_group_3628_group_3811","L4",4
"group_3406_group_3430_group_2952","L1",4
"group_3423_group_3398_group_3628","L4",4
"group_3426_group_3402_group_4457","L4",4
"group_3427_group_4922_group_2928","L4",4
"group_342_group_4559_group_4947","L4",4
"group_3430_group_3406_group_4863","L1",4
"group_4152_group_4403_group_4915","L1",4
"group_4294_group_2283_group_4755","L4",4
"group_4300_group_4841_group_1767","L4",4
"group_4314_group_4689_group_3116","L2",4
"group_4559_group_4947_group_4707","L4",4
"group_4683_group_4894_group_3399","L4",4
"group_4928_group_4707_group_4947","L4",4
"group_4947_group_4949_group_4559","L4",4
"group_664_group_1767_group_4841","L4",4
"group_672_group_1198_group_4009","L4",4
"group_679_group_183_group_3423","L4",4
"group_764_group_3866_group_4615","L1",4
"group_774_group_187_group_3222","L4",4
"group_852_group_4755_group_2283","L4",4
"group_88_group_3599_group_3065","L3",4
"group_895_group_4615_group_3866","L1",4
"group_900_group_4631_group_4152","L3",4
"group_1001_group_3954_group_3394","L5",3
"group_1004_group_1837_group_4242","L4",3
"group_1084_group_3976_group_3411","L3",3
"group_1130_group_3188_group_4854","L1",3
"group_1156_group_3416_group_3966","L6",3
"group_1177_group_1363_group_2936","L1",3
"group_1306_group_4049_group_3424","L4",3
"group_130_group_3614_group_4882","L4",3
"group_1411_group_4450_group_12","L6",3
"group_1426_group_1718_group_4241","L4",3
"group_1439_group_3405_group_3429","L4",3
"group_1439_group_4088_group_4474","L4",3
"group_1515_group_3411_group_4445","L2",3
"group_1604_group_3443_group_4477","L4",3
"group_1668_group_4667_group_4108","L5",3
"group_1675_group_4383_group_4914","L5",3
"group_1718_group_4241_group_3417","L4",3
"group_1729_group_840_group_175","L5",3
"group_1781_group_4175_group_3429","L4",3
"group_1809_group_2909_group_3390","L3",3
"group_1810_group_4801_group_1135","L5",3
"group_1813_group_2301_group_3425","L4",3
"group_191_group_889_group_2399","L6",3
"group_1950_group_3749_group_2128","L6",3
"group_1977_group_4868_group_4903","L6",3
"group_1980_group_1640_group_1118","L6",3
"group_2006_group_4242_group_1837","L4",3
"group_2014_group_4806_group_4013","L6",3
"group_2023_group_4247_group_3419","L4",3
"group_2091_group_1183_group_4408","L4",3
"group_2128_group_4781_group_1483","L6",3
"group_2188_group_175_group_840","L5",3
"group_2194_group_3212_group_3393","L3",3
"group_2216_group_4013_group_4806","L6",3
"group_2224_group_3401_group_3425","L4",3
"group_2230_group_1135_group_4801","L5",3
"group_2230_group_2922_group_4929","L4",3
"group_2262_group_2782_group_4410","L5",3
"group_231_group_1660_group_3731","L4",3
"group_2346_group_4311_group_4470","L2",3
"group_2368_group_4316_group_4753","L4",3
"group_2375_group_1778_group_3246","L4",3
"group_2406_group_1604_group_3443","L4",3
"group_2444_group_1697_group_2155","L4",3
"group_246_group_3665_group_3403","L4",3
"group_249_group_4725_group_4241","L4",3
"group_249_group_4730_group_4725","L4",3
"group_2519_group_4821_group_2608","L4",3
"group_2541_group_735_group_4645","L6",3
"group_2548_group_4823_group_2997","L4",3
"group_2565_group_3966_group_3416","L6",3
"group_2592_group_517_group_3394","L4",3
"group_2606_group_3189_group_4940","L4",3
"group_2684_group_3143_group_710","L6",3
"group_2692_group_4835_group_1293","L6",3
"group_2720_group_4834_group_4099","L5",3
"group_2782_group_2262_group_3585","L5",3
"group_2795_group_4411_group_4424","L4",3
"group_279_group_4725_group_4730","L4",3
"group_279_group_4730_group_3417","L4",3
"group_2826_group_3813_group_605","L4",3
"group_2854_group_4445_group_1515","L4",3
"group_2854_group_4445_group_3411","L2",3
"group_2894_group_3405_group_3429","L4",3
"group_2894_group_428_group_4250","L4",3
"group_2896_group_2399_group_889","L6",3
"group_2907_group_4936_group_2936","L1",3
"group_2914_group_3966_group_3431","L4",3
"group_2922_group_4929_group_4938","L4",3
"group_2939_group_646_group_2825","L5",3
"group_2946_group_3236_group_3568","L4",3
"group_2959_group_3412_group_4470","L4",3
"group_2971_group_2155_group_1697","L4",3
"group_2994_group_2959_group_3412","L4",3
"group_2994_group_758_group_2854","L4",3
"group_3088_group_4950_group_4387","L4",3
"group_3089_group_1515_group_3411","L2",3
"group_3089_group_1515_group_4445","L4",3
"group_3113_group_12_group_4450","L6",3
"group_3139_group_2462_group_4088","L5",3
"group_3143_group_710_group_3609","L6",3
"group_3164_group_4457_group_3402","L4",3
"group_3185_group_2925_group_4424","L4",3
"group_3189_group_2606_group_4373","L4",3
"group_3192_group_2194_group_3212","L3",3
"group_3204_group_4461_group_4180","L4",3
"group_3252_group_1156_group_3416","L6",3
"group_3390_group_3413_group_715","L4",3
"group_3390_group_3847_group_4636","L4",3
"group_3391_group_3414_group_2946","L4",3
"group_3391_group_4858_group_4614","L4",3
"group_3392_group_3415_group_4843","L3",3
"group_3394_group_3419_group_4247","L4",3
"group_3395_group_3420_group_4561","L4",3
"group_3395_group_4859_group_3699","L4",3
"group_3400_group_3424_group_4049","L4",3
"group_3400_group_3424_group_4120","L4",3
"group_3401_group_3425_group_2301","L4",3
"group_3402_group_3426_group_1147","L4",3
"group_3403_group_3427_group_3600","L4",3
"group_3404_group_3428_group_4475","L4",3
"group_3405_group_1439_group_4088","L4",3
"group_3405_group_3429_group_2134","L4",3
"group_3405_group_3429_group_4867","L4",3
"group_3406_group_4863_group_4074","L1",3
"group_3410_group_4903_group_3544","L4",3
"group_3412_group_4470_group_4658","L4",3
"group_3412_group_4470_group_4955","L4",3
"group_3412_group_4699_group_1205","L4",3
"group_3413_group_3390_group_3847","L4",3
"group_3413_group_715_group_3846","L4",3
"group_3416_group_3966_group_4821","L4",3
"group_3416_group_4474_group_4088","L4",3
"group_3417_group_4241_group_3722","L4",3
"group_3417_group_4241_group_4725","L4",3
"group_3420_group_3395_group_4859","L4",3
"group_3422_group_4912_group_4317","L4",3
"group_3424_group_3400_group_4536","L4",3
"group_3424_group_3400_group_4668","L4",3
"group_3426_group_1147_group_4613","L4",3
"group_3427_group_3403_group_3665","L4",3
"group_3428_group_3404_group_4911","L4",3
"group_3428_group_4475_group_4922","L4",3
"group_3431_group_3407_group_4670","L2",3
"group_3434_group_3411_group_3976","L3",3
"group_3542_group_4947_group_4949","L4",3
"group_3567_group_4527_group_4882","L4",3
"group_3582_group_4516_group_2825","L5",3
"group_3595_group_4877_group_4938","L5",3
"group_3611_group_4880_group_1086","L4",3
