"Gene","Lineage","count_genomes"
"group_2543","L4",6
"group_2895","L4",6
"group_2952","L1",6
"group_3116","L2",5
"group_3212","L3",5
"group_4863","L1",5
"group_1439","L4",4
"group_2246","L1",4
"group_2914","L4",4
"group_3065","L3",4
"group_4424","L4",4
"group_1827","L2",3
"group_2826","L4",3
"group_2859","L5",3
"group_2946","L4",3
"group_2977","L5",3
"group_2978","L4",3
"group_3139","L5",3
"group_3217","L5",3
"group_3263","L5",3
"group_4339","L4",3
"group_1858","L4",2
"group_2998","L3",2
"group_4930","L3",2
"group_4945","L4",2
"group_103","L2",1
"group_1054","L2",1
"group_1055","L5",1
"group_1072","L2",1
"group_1093","L2",1
"group_1111","L2",1
"group_1134","L2",1
"group_1141","L2",1
"group_126","L2",1
"group_1265","L2",1
"group_1319","L2",1
"group_1368","L2",1
"group_1386","L2",1
"group_1435","L2",1
"group_1437","L5",1
"group_1444","L2",1
"group_1454","L4",1
"group_1468","L2",1
"group_1478","L2",1
"group_1479","L4",1
"group_1511","L2",1
"group_1514","L2",1
"group_1538","L2",1
"group_1548","L4",1
"group_1552","L2",1
"group_1553","L2",1
"group_1559","L3",1
"group_1571","L2",1
"group_1580","L2",1
"group_1581","L7",1
"group_1599","L4",1
"group_1608","L2",1
"group_1624","L2",1
"group_163","L2",1
"group_1647","L2",1
"group_1657","L2",1
"group_1665","L2",1
"group_1666","L2",1
"group_1671","L2",1
"group_1686","L2",1
"group_1726","L3",1
"group_1746","L2",1
"group_1756","L2",1
"group_1757","L2",1
"group_1796","L2",1
"group_1797","L2",1
"group_1817","L2",1
"group_1826","L6",1
"group_1839","L4",1
"group_1872","L1",1
"group_1912","L2",1
"group_1932","L2",1
"group_1933","L2",1
"group_1964","L2",1
"group_1987","L2",1
"group_1994","L2",1
"group_1998","L2",1
"group_2001","L2",1
"group_2009","L2",1
"group_2010","L2",1
"group_2013","L2",1
"group_2024","L2",1
"group_2030","L2",1
"group_2048","L2",1
"group_2068","L4",1
"group_2079","L2",1
"group_2095","L2",1
"group_2113","L2",1
"group_2122","L2",1
"group_2125","L1",1
"group_2145","L2",1
"group_2157","L2",1
"group_2162","L2",1
"group_2163","L2",1
"group_2169","L2",1
"group_2185","L2",1
"group_2186","L3",1
"group_2195","L2",1
"group_2201","L1",1
"group_2202","L2",1
"group_2215","L2",1
"group_2229","L2",1
"group_2237","L2",1
"group_2238","L2",1
"group_2256","L2",1
"group_2267","L2",1
"group_2272","L2",1
"group_2273","L2",1
"group_2287","L2",1
"group_2323","L3",1
"group_2338","L2",1
"group_2347","L2",1
"group_2365","L2",1
"group_2379","L2",1
"group_2380","L2",1
"group_2393","L2",1
"group_2398","L2",1
"group_2427","L2",1
"group_2431","L2",1
"group_244","L2",1
"group_2446","L2",1
"group_2447","L2",1
"group_2453","L2",1
"group_2454","L2",1
"group_2465","L2",1
"group_2471","L2",1
"group_2472","L2",1
"group_2478","L2",1
"group_2505","L2",1
"group_2508","L2",1
"group_2522","L2",1
"group_2532","L2",1
"group_2533","L5",1
"group_2575","L2",1
"group_2576","L2",1
"group_2588","L2",1
"group_2595","L2",1
