gene,org,cluster
0,MIT9311,GC_00000006
0,MIT9314,GC_00000006
0,GP2,GC_00000047
0,MIT9321,GC_00000069
0,MIT9322,GC_00000070
0,MIT9123,GC_00000084
0,MIT9201,GC_00000094
0,SS51,GC_00000107
0,MIT9116,GC_00000116
0,AS9601,GC_00000400
0,CCMP1375,GC_00000400
0,MED4,GC_00000400
0,MIT9211,GC_00000400
0,MIT9215,GC_00000400
0,MIT9301,GC_00000400
0,MIT9303,GC_00000400
0,MIT9312,GC_00000400
0,MIT9515,GC_00000400
0,"NATL1A",GC_00000400
0,"NATL2A",GC_00000400
0,MIT9202,GC_00000800
0,LG,GC_00001553
0,SS35,GC_00001553
0,EQPAC1,GC_00001674
0,SB,GC_00001674
0,SS2,GC_00001949
0,MIT9107,GC_00002352
0,MIT9401,GC_00002997
0,MIT9302,GC_00005146
0,MIT9313,GC_00007057
0,PAC1,GC_00007096
1,SS51,GC_00000038
1,MIT9401,GC_00000239
1,MIT9321,GC_00000321
1,MIT9201,GC_00000389
1,MIT9313,GC_00000400
1,GP2,GC_00000488
1,SS2,GC_00000615
1,MIT9116,GC_00000830
1,MIT9322,GC_00000938
1,MIT9107,GC_00000954
1,AS9601,GC_00001254
1,MED4,GC_00001254
1,MIT9215,GC_00001254
1,MIT9301,GC_00001254
1,MIT9312,GC_00001254
1,MIT9515,GC_00001254
1,MIT9123,GC_00001442
1,MIT9202,GC_00001620
1,SS35,GC_00002252
1,LG,GC_00002253
1,CCMP1375,GC_00002389
1,EQPAC1,GC_00002962
1,"NATL1A",GC_00003663
1,"NATL2A",GC_00003663
1,MIT9314,GC_00003962
1,SB,GC_00004191
1,MIT9303,GC_00004895
1,MIT9211,GC_00005218
1,MIT9311,GC_00006048
1,PAC1,GC_00006947
1,MIT9302,GC_00007233
2,MIT9311,GC_00000001
2,AS9601,GC_00000249
2,CCMP1375,GC_00000249
2,MED4,GC_00000249
2,MIT9211,GC_00000249
2,MIT9215,GC_00000249
