"pos","count"
333551,24
333552,25
333553,25
333554,27
333555,27
333556,28
333557,27
333558,27
333559,27
333560,29
333561,29
333562,27
333563,29
333564,29
333565,30
333566,30
333567,30
333568,29
333569,30
333570,30
333571,30
333572,30
333573,31
333574,31
333575,30
333576,29
333577,31
333578,31
333579,30
333580,31
333581,30
333582,30
333583,31
333584,32
333585,30
333586,28
333587,28
333588,29
333589,28
333590,27
333591,28
333592,26
333593,26
333594,25
333595,27
333596,26
333597,27
333598,27
333599,26
333600,25
333601,26
333602,26
333603,26
333604,26
333605,24
333606,28
333607,26
333608,27
333609,26
333610,26
333611,27
333612,25
333613,27
333614,27
333615,28
333616,27
333617,29
333618,26
333619,28
333620,29
333621,29
333622,28
333623,27
333624,25
333625,27
333626,27
333627,26
333628,27
333629,25
333630,26
333631,27
333632,28
333633,26
333634,23
333635,24
333636,23
333637,26
333638,24
333639,25
333640,25
333641,26
333642,26
333643,26
333644,26
333645,24
333646,26
333647,25
333648,25
333649,26
333650,26
333651,26
333652,27
333653,25
333654,24
333655,26
333656,27
333657,27
333658,27
333659,27
333660,27
333661,28
333662,27
333663,28
333664,27
333665,23
333666,22
333667,24
333668,23
333669,24
333670,23
333671,22
333672,22
333673,20
333674,21
333675,22
333676,21
333677,21
333678,20
333679,21
333680,20
333681,21
333682,21
333683,21
333684,20
333685,18
333686,17
333687,19
333688,17
333689,18
333690,14
333691,11
333692,12
333693,14
333694,13
333695,13
333696,14
333697,13
333698,13
333699,14
333700,13
333701,12
333702,14
333703,13
333704,12
333705,13
333706,12
333707,13
333708,14
333709,10
333710,9
333711,12
333712,10
333713,10
333714,12
333715,13
333716,10
333717,10
333718,10
333719,8
333720,8
333721,9
333722,10
333723,9
333724,7
333725,7
333726,5
333727,9
333728,8
333729,9
333730,9
333731,8
333732,10
333733,10
333734,8
333735,8
333736,7
333737,5
333738,8
333739,8
333740,9
333741,9
333742,6
333743,9
333744,9
333745,8
333746,6
333747,7
333748,5
333749,8
333750,9
333751,7
333752,8
333753,8
333754,5
333755,7
333756,5
333757,8
333758,6
333759,9
333760,7
333761,9
333762,9
333763,6
333764,7
333765,6
333766,5
333767,7
333768,6
333769,5
333770,4
333771,7
333772,7
333773,7
333774,7
333775,4
333776,5
333777,4
333778,5
333779,7
333780,7
333781,6
333782,6
333783,7
333784,5
333785,6
333786,6
333787,5
333788,2
333789,5
333790,5
333791,5
333792,5
333793,7
333794,5
333795,6
333796,6
333797,5
333798,6
333799,7
333800,8
333801,7
333802,7
333803,6
333804,7
333805,7
333806,11
333807,8
333808,9
333809,9
333810,9
333811,9
333812,10
333813,10
333814,10
333815,10
333816,10
333817,10
333818,10
333819,10
333820,9
333821,10
333822,9
333823,10
333824,10
333825,10
333826,10
333827,8
333828,10
333829,10
333830,10
333831,11
333832,11
333833,10
333834,9
333835,9
333836,10
333837,9
333838,9
333839,10
333840,9
333841,8
333842,10
333843,9
333844,11
333845,12
333846,12
333847,12
333848,12
333849,10
333850,11
333851,10
333852,9
333853,10
333854,10
333855,10
333856,9
333857,9
333858,9
333859,8
333860,10
333861,8
333862,9
333863,9
333864,9
333865,10
333866,11
333867,9
333868,10
333869,11
333870,10
333871,11
333872,10
333873,10
333874,8
333875,8
333876,9
333877,9
333878,9
333879,8
333880,9
333881,9
333882,8
333883,10
333884,10
333885,9
333886,7
333887,9
333888,9
333889,10
333890,9
333891,8
333892,10
333893,7
333894,10
333895,9
333896,11
333897,7
333898,11
333899,9
333900,11
333901,9
333902,10
333903,10
333904,3
333905,8
333906,5
333907,11
333908,11
333909,7
333910,9
333911,10
333912,7
333913,8
333914,7
333915,9
333916,10
333917,7
333918,7
333919,12
333920,12
333921,10
333922,12
333923,11
333924,7
333925,10
333926,8
333927,10
333928,11
333929,10
333930,10
333931,11
333932,11
333933,11
333934,7
333935,8
333936,8
333937,9
333938,9
333939,6
333940,10
333941,9
333942,10
333943,5
333944,7
333945,7
333946,8
333947,9
333948,6
333949,9
333950,4
333951,9
333952,9
333953,6
333954,9
333955,7
333956,9
333957,6
333958,9
333959,7
333960,7
333961,8
333962,9
333963,10
333964,8
333965,6
333966,10
333967,10
333968,9
333969,9
333970,9
333971,9
333972,11
333973,10
333974,10
333975,9
333976,10
333977,11
333978,10
333979,9
333980,10
333981,10
333982,10
333983,10
333984,9
333985,10
333986,8
333987,9
333988,10
333989,9
333990,11
333991,9
333992,8
333993,10
333994,9
333995,7
333996,7
333997,7
