"pos","count"
333524,24
333525,25
333526,25
333527,27
333528,27
333529,28
333530,27
333531,27
333532,27
333533,29
333534,29
333535,27
333536,29
333537,29
333538,30
333539,30
333540,30
333541,29
333542,30
333543,30
333544,30
333545,30
333546,31
333547,31
333548,30
333549,29
333550,31
333551,31
333552,30
333553,31
333554,30
333555,30
333556,31
333557,32
333558,30
333559,28
333560,28
333561,29
333562,28
333563,27
333564,28
333565,26
333566,26
333567,25
333568,27
333569,26
333570,27
333571,27
333572,26
333573,25
333574,26
333575,26
333576,26
333577,26
333578,24
333579,28
333580,26
333581,27
333582,26
333583,26
333584,27
333585,25
333586,27
333587,27
333588,28
333589,27
333590,29
333591,26
333592,28
333593,29
333594,29
333595,28
333596,27
333597,25
333598,27
333599,27
333600,26
333601,27
333602,25
333603,26
333604,27
333605,28
333606,26
333607,23
333608,24
333609,23
333610,26
333611,24
333612,25
333613,25
333614,26
333615,26
333616,26
333617,26
333618,24
333619,26
333620,25
333621,25
333622,26
333623,26
333624,26
333625,27
333626,25
333627,24
333628,26
333629,27
333630,27
333631,27
333632,27
333633,27
333634,28
333635,27
333636,28
333637,27
333638,23
333639,22
333640,24
333641,23
333642,24
333643,23
333644,22
333645,22
333646,20
333647,21
333648,22
333649,21
333650,21
333651,20
333652,21
333653,20
333654,21
333655,21
333656,21
333657,20
333658,18
333659,17
333660,19
333661,17
333662,18
333663,14
333664,11
333665,12
333666,14
333667,13
333668,13
333669,14
333670,13
333671,13
333672,14
333673,13
333674,12
333675,14
333676,13
333677,12
333678,13
333679,12
333680,13
333681,14
333682,10
333683,9
333684,12
333685,10
333686,10
333687,12
333688,13
333689,10
333690,10
333691,10
333692,8
333693,8
333694,9
333695,10
333696,9
333697,7
333698,7
333699,5
333700,9
333701,8
333702,9
333703,9
333704,8
333705,10
333706,10
333707,8
333708,8
333709,7
333710,5
333711,8
333712,8
333713,9
333714,9
333715,6
333716,9
333717,9
333718,8
333719,6
333720,7
333721,5
333722,8
333723,9
333724,7
333725,8
333726,8
333727,5
333728,7
333729,5
333730,8
333731,6
333732,9
333733,7
333734,9
333735,9
333736,6
333737,7
333738,6
333739,5
333740,7
333741,6
333742,5
333743,4
333744,7
333745,7
333746,7
333747,7
333748,4
333749,5
333750,4
333751,5
333752,7
333753,7
333754,6
333755,6
333756,7
333757,5
333758,6
333759,6
333760,5
333761,2
333762,5
333763,5
333764,5
333765,5
333766,7
333767,5
333768,6
333769,6
333770,5
333771,6
333772,7
333773,8
333774,7
333775,7
333776,6
333777,7
333778,7
333779,11
333780,8
333781,9
333782,9
333783,9
333784,9
333785,10
333786,10
333787,10
333788,10
333789,10
333790,10
333791,10
333792,10
333793,9
333794,10
333795,9
333796,10
333797,10
333798,10
333799,10
333800,8
333801,10
333802,10
333803,10
333804,11
333805,11
333806,10
333807,9
333808,9
333809,10
333810,9
333811,9
333812,10
333813,9
333814,8
333815,10
333816,9
333817,11
333818,12
333819,12
333820,12
333821,12
333822,10
333823,11
333824,10
333825,9
333826,10
333827,10
333828,10
333829,9
333830,9
333831,9
333832,8
333833,10
333834,8
333835,9
333836,9
333837,9
333838,10
333839,11
333840,9
333841,10
333842,11
333843,10
333844,11
333845,10
333846,10
333847,8
333848,8
333849,9
333850,9
333851,9
333852,8
333853,9
333854,9
333855,8
333856,10
333857,10
333858,9
333859,7
333860,9
333861,9
333862,10
333863,9
333864,8
333865,10
333866,7
333867,10
333868,9
333869,11
333870,7
333871,11
333872,9
333873,11
333874,9
333875,10
333876,10
333877,3
333878,8
333879,5
333880,11
333881,11
333882,7
333883,9
333884,10
333885,7
333886,8
333887,7
333888,9
333889,10
333890,7
333891,7
333892,12
333893,12
333894,10
333895,12
333896,11
333897,7
333898,10
333899,8
333900,10
333901,11
333902,10
333903,10
333904,11
333905,11
333906,11
333907,7
333908,8
333909,8
333910,9
333911,9
333912,6
333913,10
333914,9
333915,10
333916,5
333917,7
333918,7
333919,8
333920,9
333921,6
333922,9
333923,4
333924,9
333925,9
333926,6
333927,9
333928,7
333929,9
333930,6
333931,9
333932,7
333933,7
333934,8
333935,9
333936,10
333937,8
333938,6
333939,10
333940,10
333941,9
333942,9
333943,9
333944,9
333945,11
333946,10
333947,10
333948,9
333949,10
333950,11
333951,10
333952,9
333953,10
333954,10
333955,10
333956,10
333957,9
333958,10
333959,8
333960,9
333961,10
333962,9
333963,11
333964,9
333965,8
333966,10
333967,9
333968,7
333969,7
333970,7
333971,7
333972,7
333973,6
333974,8
333975,6
333976,8
333977,10
333978,8
333979,9
333980,9
333981,9
333982,8
333983,6
333984,9
333985,8
333986,12
333987,8
333988,11
333989,11
333990,10
333991,11
333992,11
333993,10
333994,10
333995,12
333996,11
333997,12
333998,11
333999,10
334000,10
334001,10
334002,7
334003,9
334004,10
334005,9
334006,10
334007,9
334008,10
334009,10
334010,10
334011,10
334012,7
334013,9
334014,9
334015,11
334016,11
334017,9
334018,10
334019,10
334020,9
334021,10
334022,8
334023,11
334024,10
334025,12
334026,8
334027,10
334028,11
334029,7
334030,10
334031,7
334032,8
334033,11
334034,14
334035,12
334036,12
334037,14
334038,14
334039,11
334040,14
334041,12
334042,14
334043,14
334044,12
334045,10
334046,10
334047,14
334048,12
334049,12
334050,13
334051,12
334052,12
334053,15
334054,9
334055,14
334056,14
334057,13
334058,14
334059,13
334060,14
334061,14
334062,14
334063,15
334064,12
334065,12
334066,15
334067,13
334068,15
334069,12
334070,13
334071,11
334072,11
334073,13
334074,11
334075,10
334076,12
334077,12
334078,14
334079,14
334080,15
334081,15
334082,14
334083,14
334084,16
334085,16
334086,16
334087,16
334088,15
334089,15
334090,15
334091,14
334092,15
334093,16
334094,15
334095,16
334096,16
334097,18
334098,16
334099,16
334100,16
334101,17
334102,15
334103,14
334104,15
334105,16
334106,14
334107,15
334108,15
334109,15
334110,16
334111,15
334112,14
334113,13
334114,15
334115,15
334116,14
334117,17
334118,15
334119,15
334120,13
334121,18
334122,16
334123,14
334124,14
334125,14
334126,14
334127,14
334128,14
