"","BCCM 082","BCCM 083","BCCM 102","TDR1","TDR5","TDR146","BCCM 085","BCCM 087","BCCM 088","BCCM 3241","HN878.1","Strain210.1","TDR196","TDR86","TDR19","BCCM 089","BCCM 090","BCCM 091","TDR188","TDR34","BCCM 092","BCCM 093","BCCM 094","CDC1551.1","Erdman.1","H37Rv new","NR123","TMC102","TDR116","TDR144","TDR152","TDR156","TDR180","TDR193","TDR33","TDR51","TDR58","TDR64","TDR69","TDR74","TDR76","TDR89","TDR91","BCCM 095","BCCM 096","BCCM 097","BCCM 098","BCCM 099","BCCM 100","BCCM 101","M.can.1"
"BCCM 082",0,973,829,1097,1128,855,2016,1949,1818,2002,2233,2388,2195,2272,1873,1631,1832,1914,1947,1993,2256,1745,1965,2012,1903,1973,1988,1973,2069,2079,1970,1966,2121,2146,1925,1678,1693,2212,1682,1885,2084,2574,2126,1771,1992,1904,1454,1746,1596,1580,4687
"BCCM 083",973,0,704,558,288,936,1749,1946,1563,1663,1815,1875,1705,1867,1629,1459,1457,1723,1872,1783,1884,1672,1761,1988,1805,2110,2243,2110,1823,1941,1774,2046,1970,1890,1795,1378,1393,1873,1388,1901,1699,1870,2079,1679,1925,1824,1513,1419,1709,1728,4401
"BCCM 102",829,704,0,875,592,782,1642,1869,1459,1787,1711,2136,1600,1818,1519,1485,1581,1871,1951,2055,2048,1656,2036,2108,1803,2113,2126,2113,2079,2140,1734,1800,1873,2040,1966,1692,1707,1876,1696,1726,1666,2318,1923,1769,1788,1583,1338,1254,1875,1632,4649
"TDR1",1097,558,875,0,459,1035,1913,2171,1750,1790,1809,1901,1863,1874,1706,1719,1746,1857,1913,1872,2080,2004,1815,1724,1848,2352,2368,2288,1910,2169,1817,1805,2064,1996,1892,1488,1503,2100,1492,1855,1803,2103,2086,1805,1843,1743,1557,1563,1818,1922,4486
"TDR5",1128,288,592,459,0,1058,1746,1935,1599,1783,1829,1868,1640,1798,1604,1464,1509,1724,1732,1634,1838,1879,1824,1755,1822,2086,2099,2019,2204,1783,1828,1834,1935,1922,1607,1367,1382,1825,1377,1817,1760,1958,2078,1776,1797,1783,1490,1428,1676,1951,4397
"TDR146",855,936,782,1035,1058,0,1954,1832,1542,1976,1798,1971,1695,1811,1688,1631,1735,1915,1663,1850,1852,1724,2254,1912,1802,1713,1727,1629,2092,1953,1742,1653,1732,1914,1696,1444,1459,1939,1454,1734,1608,2302,1951,1760,1703,1527,1266,1372,1721,1353,4331
"BCCM 085",2016,1749,1642,1913,1746,1954,0,1305,363,770,406,636,607,539,637,1367,1751,1376,1217,1336,1375,1294,1517,1305,1269,1940,1945,1940,1467,1530,1254,1181,1410,1462,1118,1494,1502,1499,1504,1357,830,1682,1340,2075,2023,2038,1618,1571,1885,1766,4590
"BCCM 087",1949,1946,1869,2171,1935,1832,1305,0,1049,1188,1145,1337,1051,1122,1120,1428,1518,1509,1336,1433,1787,1507,1723,1332,1340,1921,1925,1921,1561,1810,1275,1407,1674,1527,1595,1434,1443,1484,1447,1361,1313,1555,1680,2251,2226,2137,2079,1742,1751,1591,5005
"BCCM 088",1818,1563,1459,1750,1599,1542,363,1049,0,584,281,634,398,265,276,1137,1509,1247,1062,1171,1258,1341,1436,1168,1163,1877,1946,1877,1160,1391,1276,1366,1418,1480,944,1272,1280,1447,1366,1361,554,1564,1319,2064,1908,1799,1401,1369,1786,1531,4545
"BCCM 3241",2002,1663,1787,1790,1783,1976,770,1188,584,0,829,901,708,460,560,1078,1428,1340,1093,1224,1375,1159,1288,1093,1047,1653,1658,1653,979,1385,1362,1084,1482,1370,1031,1534,1467,1275,1468,1262,861,1559,1445,2107,1990,1893,1566,1607,1856,1557,4167
"HN878.1",2233,1815,1711,1809,1829,1798,406,1145,281,829,0,197,618,415,489,1339,1574,1368,1154,1394,1522,1502,1549,1157,1265,1754,1757,1750,1338,1666,1373,1361,1609,1469,1136,1582,1587,1627,1527,1362,673,1684,1358,1998,1944,1829,1393,1469,1736,1793,4597
"Strain210.1",2388,1875,2136,1901,1868,1971,636,1337,634,901,197,0,779,723,637,1494,1718,1764,1250,1448,1559,1554,1525,1278,1073,1808,1820,1822,1538,1773,1259,1357,1418,1389,1244,1356,1363,1219,1371,1335,845,1543,1227,2257,2236,2010,1976,1911,2255,1834,4687
"TDR196",2195,1705,1600,1863,1640,1695,607,1051,398,708,618,779,0,450,537,1305,1618,1468,1376,1362,1374,1610,1347,1346,1302,1829,1834,1880,1116,1412,1473,1432,1744,1552,1050,1250,1259,1415,1298,1415,789,1773,1529,2024,1869,1909,1628,1637,2087,1855,4875
"TDR86",2272,1867,1818,1874,1798,1811,539,1122,265,460,415,723,450,0,311,1372,1380,1443,1129,1275,1379,1419,1156,1143,1295,1703,1769,1802,1209,1421,1347,1398,1691,1511,952,1304,1313,1557,1322,1431,616,1762,1365,1950,1886,1896,1642,1515,2001,1962,4419
"TDR19",1873,1629,1519,1706,1604,1688,637,1120,276,560,489,637,537,311,0,1150,1646,1284,1056,1109,1444,1365,1150,1064,1279,1522,1529,1703,1159,1451,1414,1447,1648,1628,976,1236,1244,1546,1330,1420,705,1779,1424,1858,1937,1701,1619,1408,1961,1612,4619
"BCCM 089",1631,1459,1485,1719,1464,1631,1367,1428,1137,1078,1339,1494,1305,1372,1150,0,619,323,156,147,1394,1271,1692,1026,1160,1244,1308,1244,1211,1848,1310,1069,1293,1379,1060,1060,1068,1461,1050,1320,1281,1399,1290,2082,2120,1677,1514,1832,1699,1375,5332
"BCCM 090",1832,1457,1581,1746,1509,1735,1751,1518,1509,1428,1574,1718,1618,1380,1646,619,0,770,658,604,1403,1266,1430,1134,1138,1705,1719,1705,1155,1791,1354,1158,1371,1429,1107,1122,1121,1655,1118,1430,1558,1441,1186,1839,1982,1651,1567,1759,1785,1523,4869
"BCCM 091",1914,1723,1871,1857,1724,1915,1376,1509,1247,1340,1368,1764,1468,1443,1284,323,770,0,430,425,1802,1511,1428,1437,1560,1575,1576,1575,1161,1813,1486,1437,1621,1607,1380,1341,1348,1761,1356,1453,1281,1638,1580,2038,2149,1810,1730,1761,2067,1547,5220
"TDR188",1947,1872,1951,1913,1732,1663,1217,1336,1062,1093,1154,1250,1376,1129,1056,156,658,430,0,244,1457,957,1524,1577,1080,1245,1251,1227,1161,2045,1169,997,1227,1125,1065,1075,950,1396,936,1158,1187,1299,1087,2135,2139,1779,1590,1729,1926,1329,4886
"TDR34",1993,1783,2055,1872,1634,1850,1336,1433,1171,1224,1394,1448,1362,1275,1109,147,604,425,244,0,1540,1138,1693,1196,1347,1186,1193,1214,1339,2010,1327,1131,1404,1370,1293,1385,1403,1956,1456,1387,1450,1574,1384,2136,2191,1962,1590,1790,1818,1723,4768
"BCCM 092",2256,1884,2048,2080,1838,1852,1375,1787,1258,1375,1522,1559,1374,1379,1444,1394,1403,1802,1457,1540,0,1338,1292,1466,1061,995,1077,995,861,1319,1200,1065,1255,1358,720,1096,953,1176,1010,1299,1216,1205,1056,2344,2388,2211,1589,2010,2186,2053,4726
"BCCM 093",1745,1672,1656,2004,1879,1724,1294,1507,1341,1159,1502,1554,1610,1419,1365,1271,1266,1511,957,1138,1338,0,1232,1162,990,914,925,914,1216,1100,618,328,978,707,606,1044,1007,1283,949,544,1309,938,556,1928,1901,1755,1713,1727,1797,1602,4929
"BCCM 094",1965,1761,2036,1815,1824,2254,1517,1723,1436,1288,1549,1525,1347,1156,1150,1692,1430,1428,1524,1693,1292,1232,0,1118,1100,1029,1160,1029,991,345,1176,1105,1364,1356,1104,1198,1194,1224,1197,1199,1351,1306,1212,2246,2284,1900,1483,1725,1872,2111,4520
"CDC1551.1",2012,1988,2108,1724,1755,1912,1305,1332,1168,1093,1157,1278,1346,1143,1064,1026,1134,1437,1577,1196,1466,1162,1118,0,800,1027,1023,1027,215,1313,866,1008,921,948,814,692,746,933,684,1009,483,1191,1028,2201,2384,2062,1787,1846,1901,1983,4560
"Erdman.1",1903,1805,1803,1848,1822,1802,1269,1340,1163,1047,1265,1073,1302,1295,1279,1160,1138,1560,1080,1347,1061,990,1100,800,0,829,845,829,720,1179,1055,1127,440,1070,777,1113,1133,318,1070,1119,831,837,678,2084,2027,1871,1631,1693,1824,1630,4743
"H37Rv new",1973,2110,2113,2352,2086,1713,1940,1921,1877,1653,1754,1808,1829,1703,1522,1244,1705,1575,1245,1186,995,914,1029,1027,829,0,8,0,1351,1348,619,888,1199,816,372,555,562,1000,565,642,1485,891,982,2112,2287,2261,1661,1760,1861,1666,4621
"NR123",1988,2243,2126,2368,2099,1727,1945,1925,1946,1658,1757,1820,1834,1769,1529,1308,1719,1576,1251,1193,1077,925,1160,1023,845,8,0,8,1358,1359,699,904,1231,841,374,639,646,1025,649,666,1483,904,1007,2152,2301,2315,1683,1785,1904,1679,4625
"TMC102",1973,2110,2113,2288,2019,1629,1940,1921,1877,1653,1750,1822,1880,1802,1703,1244,1705,1575,1227,1214,995,914,1029,1027,829,0,8,0,1261,1395,995,948,1267,880,372,556,560,1024,566,867,1436,891,924,2112,2287,2261,1661,1760,1861,1666,4623
"TDR116",2069,1823,2079,1910,2204,2092,1467,1561,1160,979,1338,1538,1116,1209,1159,1211,1155,1161,1161,1339,861,1216,991,215,720,1351,1358,1261,0,1247,1140,1124,989,1200,886,1326,1343,909,1337,1224,528,1316,1308,1807,1794,1841,1699,1713,1907,1840,4521
"TDR144",2079,1941,2140,2169,1783,1953,1530,1810,1391,1385,1666,1773,1412,1421,1451,1848,1791,1813,2045,2010,1319,1100,345,1313,1179,1348,1359,1395,1247,0,1279,1194,1338,1427,1255,1250,1245,1158,1260,1265,1386,1603,1010,2296,2387,2026,1761,2125,2424,2033,5067
"TDR152",1970,1774,1734,1817,1828,1742,1254,1275,1276,1362,1373,1259,1473,1347,1414,1310,1354,1486,1169,1327,1200,618,1176,866,1055,619,699,995,1140,1279,0,483,760,452,657,1186,1013,1129,956,1,1152,1062,780,2021,1832,1858,1836,1826,1869,1677,4599
"TDR156",1966,2046,1800,1805,1834,1653,1181,1407,1366,1084,1361,1357,1432,1398,1447,1069,1158,1437,997,1131,1065,328,1105,1008,1127,888,904,948,1124,1194,483,0,1153,609,907,679,747,1268,686,391,1310,925,260,2077,1975,1968,1762,1765,1817,1512,4847
"TDR180",2121,1970,1873,2064,1935,1732,1410,1674,1418,1482,1609,1418,1744,1691,1648,1293,1371,1621,1227,1404,1255,978,1364,921,440,1199,1231,1267,989,1338,760,1153,0,1184,1037,1321,1330,1017,1267,942,1269,1138,1145,2138,1956,1956,1800,1879,2011,1971,4747
"TDR193",2146,1890,2040,1996,1922,1914,1462,1527,1480,1370,1469,1389,1552,1511,1628,1379,1429,1607,1125,1370,1358,707,1356,948,1070,816,841,880,1200,1427,452,609,1184,0,917,794,862,1159,805,335,1277,1053,738,1800,1728,1768,1859,1951,1946,1857,4688
"TDR33",1925,1795,1966,1892,1607,1696,1118,1595,944,1031,1136,1244,1050,952,976,1060,1107,1380,1065,1293,720,606,1104,814,777,372,374,372,886,1255,657,907,1037,917,0,781,553,1236,791,611,1196,971,711,2183,1965,2118,1778,1891,1989,1463,4649
"TDR51",1678,1378,1692,1488,1367,1444,1494,1434,1272,1534,1582,1356,1250,1304,1236,1060,1122,1341,1075,1385,1096,1044,1198,692,1113,555,639,556,1326,1250,1186,679,1321,794,781,0,9,898,12,924,1298,934,922,1671,1985,1648,1612,1341,1546,1473,4917
"TDR58",1693,1393,1707,1503,1382,1459,1502,1443,1280,1467,1587,1363,1259,1313,1244,1068,1121,1348,950,1403,953,1007,1194,746,1133,562,646,560,1343,1245,1013,747,1330,862,553,9,0,963,7,943,1304,941,893,1686,2000,1663,1627,1356,1561,1489,4925
"TDR64",2212,1873,1876,2100,1825,1939,1499,1484,1447,1275,1627,1219,1415,1557,1546,1461,1655,1761,1396,1956,1176,1283,1224,933,318,1000,1025,1024,909,1158,1129,1268,1017,1159,1236,898,963,0,946,1333,1104,815,786,2279,2063,1975,1692,1724,1775,1928,4704
"TDR69",1682,1388,1696,1492,1377,1454,1504,1447,1366,1468,1527,1371,1298,1322,1330,1050,1118,1356,936,1456,1010,949,1197,684,1070,565,649,566,1337,1260,956,686,1267,805,791,12,7,946,0,886,1308,936,932,1782,1852,1658,1622,1351,1556,1481,4928
"TDR74",1885,1901,1726,1855,1817,1734,1357,1361,1361,1262,1362,1335,1415,1431,1420,1320,1430,1453,1158,1387,1299,544,1199,1009,1119,642,666,867,1224,1265,1,391,942,335,611,924,943,1333,886,0,1238,1465,922,1908,1933,1791,1809,1836,1877,1783,4409
"TDR76",2084,1699,1666,1803,1760,1608,830,1313,554,861,673,845,789,616,705,1281,1558,1281,1187,1450,1216,1309,1351,483,831,1485,1483,1436,528,1386,1152,1310,1269,1277,1196,1298,1304,1104,1308,1238,0,1241,1062,1932,2013,2046,1624,1787,1889,1817,4637
"TDR89",2574,1870,2318,2103,1958,2302,1682,1555,1564,1559,1684,1543,1773,1762,1779,1399,1441,1638,1299,1574,1205,938,1306,1191,837,891,904,891,1316,1603,1062,925,1138,1053,971,934,941,815,936,1465,1241,0,1007,2729,2332,2465,2166,2076,2384,1798,4921
"TDR91",2126,2079,1923,2086,2078,1951,1340,1680,1319,1445,1358,1227,1529,1365,1424,1290,1186,1580,1087,1384,1056,556,1212,1028,678,982,1007,924,1308,1010,780,260,1145,738,711,922,893,786,932,922,1062,1007,0,2296,2276,2081,1745,1954,2026,1760,4660
"BCCM 095",1771,1679,1769,1805,1776,1760,2075,2251,2064,2107,1998,2257,2024,1950,1858,2082,1839,2038,2135,2136,2344,1928,2246,2201,2084,2112,2152,2112,1807,2296,2021,2077,2138,1800,2183,1671,1686,2279,1782,1908,1932,2729,2296,0,342,325,1284,1414,1854,1893,5151
"BCCM 096",1992,1925,1788,1843,1797,1703,2023,2226,1908,1990,1944,2236,1869,1886,1937,2120,1982,2149,2139,2191,2388,1901,2284,2384,2027,2287,2301,2287,1794,2387,1832,1975,1956,1728,1965,1985,2000,2063,1852,1933,2013,2332,2276,342,0,372,1440,1561,1915,2027,5038
"BCCM 097",1904,1824,1583,1743,1783,1527,2038,2137,1799,1893,1829,2010,1909,1896,1701,1677,1651,1810,1779,1962,2211,1755,1900,2062,1871,2261,2315,2261,1841,2026,1858,1968,1956,1768,2118,1648,1663,1975,1658,1791,2046,2465,2081,325,372,0,1492,1392,1536,1725,5002
"BCCM 098",1454,1513,1338,1557,1490,1266,1618,2079,1401,1566,1393,1976,1628,1642,1619,1514,1567,1730,1590,1590,1589,1713,1483,1787,1631,1661,1683,1661,1699,1761,1836,1762,1800,1859,1778,1612,1627,1692,1622,1809,1624,2166,1745,1284,1440,1492,0,462,1080,1675,4732
"BCCM 099",1746,1419,1254,1563,1428,1372,1571,1742,1369,1607,1469,1911,1637,1515,1408,1832,1759,1761,1729,1790,2010,1727,1725,1846,1693,1760,1785,1760,1713,2125,1826,1765,1879,1951,1891,1341,1356,1724,1351,1836,1787,2076,1954,1414,1561,1392,462,0,509,1842,4915
"BCCM 100",1596,1709,1875,1818,1676,1721,1885,1751,1786,1856,1736,2255,2087,2001,1961,1699,1785,2067,1926,1818,2186,1797,1872,1901,1824,1861,1904,1861,1907,2424,1869,1817,2011,1946,1989,1546,1561,1775,1556,1877,1889,2384,2026,1854,1915,1536,1080,509,0,2006,4418
"BCCM 101",1580,1728,1632,1922,1951,1353,1766,1591,1531,1557,1793,1834,1855,1962,1612,1375,1523,1547,1329,1723,2053,1602,2111,1983,1630,1666,1679,1666,1840,2033,1677,1512,1971,1857,1463,1473,1489,1928,1481,1783,1817,1798,1760,1893,2027,1725,1675,1842,2006,0,4367
"M.can.1",4687,4401,4649,4486,4397,4331,4590,5005,4545,4167,4597,4687,4875,4419,4619,5332,4869,5220,4886,4768,4726,4929,4520,4560,4743,4621,4625,4623,4521,5067,4599,4847,4747,4688,4649,4917,4925,4704,4928,4409,4637,4921,4660,5151,5038,5002,4732,4915,4418,4367,0
