V1	Cluster ID	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Cluster Name	Types	Size	Organisms	Length	Identity
fig|1773.30302.peg.1192	UniRef90_Q79FS8	100	141	0	0	1	141	4	144	2.86e-94	277	Cluster: PE family protein PE9	UniProtKB Reviewed (Swiss-Prot); UniProtKB Unreviewed (TrEMBL); UniParc	15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis CAS/NITR204; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh); Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P; Mycobacterium orygis 112400015; Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85	144	0.9
fig|1773.30302.peg.1192	UniRef90_A0A655DS76	100	131	0	0	1	131	4	134	5.65e-86	257	Cluster: PE family protein	UniProtKB Unreviewed (TrEMBL); UniParc	3	Mycobacterium tuberculosis	154	0.9
fig|1773.30302.peg.1192	UniRef90_UPI002350F366	100	129	0	0	1	129	4	132	1.78e-83	251	Cluster: PE family protein	UniParc	16	Mycobacterium tuberculosis; Mycobacterium canettii	174	0.9
fig|1773.30302.peg.1192	UniRef90_UPI0005E13DAA	98.425	127	0	1	17	141	164	290	1.66e-79	245	Cluster: PE family protein	UniParc	3	Mycobacterium tuberculosis	290	0.9
fig|1773.30302.peg.1192	UniRef90_UPI0005E13DAA	61.29	62	24	0	13	74	16	77	7.7300000000000005e-07	57	Cluster: PE family protein	UniParc	3	Mycobacterium tuberculosis	290	0.9
fig|1773.30302.peg.1192	UniRef90_UPI00207A055A	99.057	106	1	0	36	141	1	106	2.49e-68	210	Cluster: PE family protein	UniParc	2	Mycobacterium tuberculosis	106	0.9
fig|1773.30302.peg.1875	UniRef90_G0TKJ5	99.632	272	1	0	1	272	1	272	0	540	Cluster: 3-keto-5-aminohexanoate cleavage enzyme	UniProtKB Unreviewed (TrEMBL); UniParc	80	Mycobacterium canettii (strain CIPT 140010059); Mycobacterium tuberculosis; Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra); Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv); Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman); Mycobacterium tuberculosis variant africanum K85; Mycobacterium orygis 112400015; Mycobacterium tuberculosis EAI5; Mycobacterium canettii; Streptococcus pneumoniae	272	0.9
fig|1773.30302.peg.1875	UniRef90_A0A163WKP1	90.406	271	26	0	1	271	1	271	9.72e-175	491	Cluster: 3-keto-5-aminohexanoate cleavage protein	UniProtKB Unreviewed (TrEMBL); UniParc	12	Mycobacterium ostraviense; Mycobacterium kansasii; Mycobacterium kansasii 824; Mycobacterium kansasii ATCC 12478; Mycobacterium kansasii 662; Mycobacterium simulans; Mycobacterium persicum; Mycobacterium attenuatum	273	0.9
fig|1773.30302.peg.1875	UniRef90_A0A1X2BM35	90.37	270	26	0	1	270	1	270	4.37e-174	490	Cluster: 3-keto-5-aminohexanoate cleavage protein	UniProtKB Unreviewed (TrEMBL); UniParc	5	Mycobacterium riyadhense; Mycobacterium szulgai	273	0.9
fig|1773.30302.peg.1875	UniRef90_A0A0Q2LT79	88.848	269	30	0	1	269	1	269	8.61e-172	484	Cluster: 3-keto-5-aminohexanoate cleavage protein	UniProtKB Unreviewed (TrEMBL); UniParc	27	Mycobacterium gordonae; Mycobacterium sp; Mycobacterium paragordonae; Mycobacterium innocens; Mycobacterium pseudokansasii; Mycobacterium gastri; Mycobacterium shinjukuense; Mycobacterium attenuatum; Mycobacterium lacus; Mycobacterium riyadhense	276	0.9
