"","BCCM 082","BCCM 083","BCCM 085","BCCM 087","BCCM 088","BCCM 089","BCCM 090","BCCM 091","BCCM 092","BCCM 093","BCCM 094","BCCM 095","BCCM 096","BCCM 097","BCCM 098","BCCM 099","BCCM 100","BCCM 101","BCCM 102","BCCM 3241","CDC1551.1","Erdman.1","H37Rv new","HN878.1","NR123","Strain210.1","TDR1","TDR116","TDR144","TDR146","TDR152","TDR156","TDR180","TDR188","TDR19","TDR193","TDR196","TDR33","TDR34","TDR5","TDR51","TDR58","TDR64","TDR69","TDR74","TDR76","TDR86","TDR89","TDR91","TMC102"
"BCCM 082",0,1371,2460,2730,2425,2474,2320,2354,2661,2492,2739,2732,2725,2832,2797,2814,2737,2789,1171,2574,2640,2511,2688,2397,2683,2619,1330,2444,2720,1294,2352,2544,2718,2472,2479,2435,2450,2490,2516,1375,2526,2564,2674,2533,2366,2218,2495,2693,2613,2690
"BCCM 083",1371,0,2933,2933,2841,2550,2462,2523,3099,2911,2870,2517,2735,2572,2884,2731,2544,2603,1167,2832,2610,2343,3298,2807,3295,2730,752,2749,2330,1398,2694,2996,3079,2709,2904,2903,2881,2813,2641,636,2449,2487,2423,2461,2909,2564,2781,2405,3016,3300
"BCCM 085",2460,2933,0,1148,444,1719,1808,1700,1778,1755,1747,2516,2537,2560,2575,2525,2571,2358,2459,781,1793,1651,2311,268,2306,429,2685,1816,1545,2684,1677,1670,1905,1728,497,1738,616,1679,1702,2837,2161,2191,1695,2196,1670,1597,520,1718,1652,2313
"BCCM 087",2730,2933,1148,0,1127,1552,1448,1550,1688,1769,1781,2659,2682,2676,2899,2418,2577,2234,2522,1130,1752,1708,1855,1114,1850,1295,2803,1691,1823,2621,1581,1727,1882,1425,1180,1763,1129,1571,1567,2868,1687,1718,1550,1737,1626,1498,1057,1622,1764,1857
"BCCM 088",2425,2841,444,1127,0,1614,1650,1652,1704,1699,1672,2415,2446,2462,2472,2505,2473,2259,2379,722,1707,1558,2302,252,2305,453,2603,1719,1519,2453,1605,1613,1914,1562,347,1678,523,1609,1692,2750,2113,2143,1530,2179,1606,1428,431,1711,1585,2304
"BCCM 089",2474,2550,1719,1552,1614,0,818,594,1781,1930,1967,2697,2653,2742,2705,2749,2604,2339,2602,1590,1817,1811,1968,1541,1964,1745,2460,1898,1890,2781,1813,1830,2112,517,1760,1860,1593,1752,501,2557,1965,2002,1809,1944,1818,1521,1722,1909,1913,1970
"BCCM 090",2320,2462,1808,1448,1650,818,0,763,1623,1783,1755,2539,2568,2635,2626,2624,2646,2371,2500,1495,1721,1573,2134,1449,2129,1630,2405,1595,1694,2649,1675,1691,1884,830,1616,1719,1549,1590,843,2404,1664,1699,1772,1679,1670,1468,1549,1743,1767,2136
"BCCM 091",2354,2523,1700,1550,1652,594,763,0,1758,1892,1841,2572,2588,2640,2653,2628,2636,2309,2561,1616,1692,1901,1964,1552,1961,1689,2462,1686,1774,2697,1866,1823,2017,536,1776,1942,1594,1706,601,2538,1765,1802,1818,1808,1791,1533,1688,1820,1937,1966
"BCCM 092",2661,3099,1778,1688,1704,1781,1623,1758,0,1067,1413,2710,2757,2741,2786,2834,2887,2392,2768,1652,1383,1153,1042,1656,1037,1571,2989,1211,1215,2822,1013,956,1245,1724,1761,1090,1684,829,1751,3111,972,1005,1093,993,1043,1070,1675,1074,1028,1044
"BCCM 093",2492,2911,1755,1769,1699,1930,1783,1892,1067,0,1370,2624,2626,2621,2895,2867,2839,2297,2626,1697,1435,1217,1123,1659,1117,1645,2876,1328,1209,2604,691,399,1295,1805,1745,856,1707,975,1891,2865,1341,1274,1170,1254,695,1121,1630,1213,538,1125
"BCCM 094",2739,2870,1747,1781,1672,1967,1755,1841,1413,1370,0,2702,2628,2749,2920,2857,2884,2452,2787,1754,1311,1344,1368,1676,1378,1716,2791,1292,713,2898,1185,1268,1417,1992,1755,1308,1705,1286,2003,2857,1307,1284,1266,1267,1267,1199,1612,1376,1323,1370
"BCCM 095",2732,2517,2516,2659,2415,2697,2539,2572,2710,2624,2702,0,528,518,2348,2386,2511,2620,2637,2461,2657,2487,2623,2354,2615,2555,2654,2447,2558,2645,2525,2608,2539,2581,2476,2367,2395,2580,2610,2607,2617,2653,2509,2737,2515,2268,2278,2588,2662,2625
"BCCM 096",2725,2735,2537,2682,2446,2653,2568,2588,2757,2626,2628,528,0,588,2432,2446,2586,2658,2662,2472,2664,2561,2864,2396,2861,2586,2647,2505,2559,2658,2524,2641,2543,2608,2507,2399,2461,2562,2656,2614,2697,2733,2446,2565,2534,2323,2332,2618,2692,2866
