"pos","count"
333552,5
333553,5
333554,5
333555,5
333556,5
333557,5
333558,5
333559,5
333560,5
333561,5
333562,5
333563,5
333564,5
333565,5
333566,5
333567,5
333568,5
333569,5
333570,5
333571,5
333572,5
333573,5
333574,5
333575,5
333576,5
333577,5
333578,5
333579,5
333580,5
333581,5
333582,5
333583,5
333584,5
333585,5
333586,5
333587,5
333588,5
333589,5
333590,5
333591,5
333592,5
333593,5
333594,5
333595,5
333596,5
333597,5
333598,5
333599,11
333600,11
333601,11
333602,6
333603,6
333604,6
333605,6
333606,6
333607,6
333608,6
333609,8
333610,8
333611,8
333612,8
333613,8
333614,8
333615,8
333616,8
333617,8
333618,8
333619,8
333620,8
333621,8
333622,8
333623,8
333624,8
333625,8
333626,8
333627,8
333628,8
333629,8
333630,8
333631,8
333632,8
333633,8
333634,8
333635,8
333636,8
333637,8
333638,8
333639,8
333640,8
333641,8
333642,8
333643,8
333644,8
333645,8
333646,8
333647,8
333648,8
333649,2
333650,2
333651,2
333652,2
333653,2
333654,2
333655,2
333656,2
333657,2
333658,2
333665,1
333666,1
333667,1
333668,1
333669,1
333670,1
333671,1
333672,1
333673,1
333674,1
333675,1
333676,1
333677,1
333678,1
333679,1
333680,1
333681,1
333682,1
333683,1
333684,1
333685,1
333686,1
333687,1
333688,1
333689,1
333690,1
333691,1
333692,1
333693,1
333694,1
333695,1
333696,1
333697,1
333698,1
333699,1
333700,1
333701,1
333702,1
333703,1
333704,1
333705,1
333706,1
333707,1
333708,1
333709,1
333710,1
333711,1
333712,1
333713,1
333714,1
333781,2
333782,2
333783,2
333784,2
333785,2
333786,2
333787,2
333788,2
333789,2
333790,2
333791,2
333792,2
333793,2
333794,2
333795,2
333796,2
333797,2
333798,2
333799,2
333800,2
333801,2
333802,2
333803,2
333804,2
333805,2
333806,2
333807,2
333808,2
333809,2
333810,2
333811,2
333812,2
333813,2
333814,2
333815,2
333816,2
333817,2
333818,2
333819,2
333820,2
333821,2
333822,2
333823,2
333824,2
333825,2
333826,2
333827,2
333828,2
333829,2
333830,2
333976,3
333977,3
333978,3
333979,3
333980,3
333981,3
333982,3
333983,3
333984,3
333985,3
333986,5
333987,5
333988,5
333989,5
333990,5
333991,5
333992,5
333993,5
333994,5
333995,5
333996,5
333997,5
333998,5
333999,5
334000,5
334001,5
334002,5
334003,5
334004,5
334005,5
334006,5
334007,5
334008,5
334009,5
334010,7
334011,7
334012,7
334013,7
334014,7
334015,7
334016,7
334017,7
334018,7
334019,7
334020,7
334021,7
334022,7
334023,7
334024,7
334025,7
334026,4
334027,4
334028,4
334029,4
334030,4
334031,4
334032,4
334033,4
334034,4
334035,4
334036,2
334037,2
334038,2
334039,2
334040,2
334041,2
334042,2
334043,2
334044,2
334045,2
334046,2
334047,2
334048,2
334049,2
334050,2
334051,2
334052,2
334053,2
334054,2
334055,2
334056,2
334057,2
334058,2
334059,2
334082,2
334083,2
334084,2
334085,2
334086,2
334087,2
334088,2
334089,2
334090,2
334091,2
334092,2
334093,2
334094,2
334095,2
334096,2
334097,2
334098,2
334099,2
334100,2
334101,2
334102,2
334103,2
334104,2
334105,2
334106,2
334107,2
334108,2
334109,2
334110,2
334111,2
334112,2
334113,2
334114,2
334115,2
334116,2
334117,2
334118,2
334119,2
334120,2
334121,2
334122,2
334123,2
334124,2
334125,2
334126,2
334127,2
334128,2
334129,2
334130,2
334131,2
334954,5
334955,5
334956,5
334957,5
334958,5
334959,5
334960,5
334961,5
334962,5
334963,5
334964,5
334965,5
334966,5
334967,5
334968,5
334969,5
334970,5
334971,5
334972,5
334973,5
334974,5
334975,5
334976,5
334977,5
334978,5
334979,5
334980,5
334981,5
334982,5
334983,5
334984,5
334985,5
334986,5
334987,5
334988,5
334989,5
334990,5
334991,5
334992,5
334993,5
334994,5
334995,5
334996,5
334997,5
334998,5
334999,5
335000,5
335001,5
335002,5
335003,5
336065,5
336066,5
336067,5
336068,5
336069,5
336070,5
336071,5
336072,5
336073,5
336074,5
336075,5
336076,5
336077,5
336078,5
336079,5
336080,5
336081,5
336082,5
336083,5
336084,5
336085,5
336086,5
336087,5
336088,5
336089,5
336090,5
336091,5
336092,5
336093,5
336094,5
336095,5
336096,5
336097,5
336098,5
336099,5
336100,5
336101,5
336102,5
336103,5
336104,5
